"Statistic","Quantity","Bias","RMSE","SD"
"Mean","X1",0.0212093628218849,0.0213817478408616,0.0027123390248657
"Mean","X2",0.0202500182982553,0.0204261914451449,0.00267962995718621
"Mean","X3",-0.0120644741035669,0.0123341801733865,0.0025678108300341
"Variance","X1",0.0572739106939437,0.0587280976143135,0.013001025210788
"Variance","X2",0.0494268053834084,0.0511597182473376,0.0132157858157245
"Variance","X3",0.0307983090277412,0.0339362792593501,0.0142668250003823
"Quantile","X1_5%",-0.131711340196892,0.135965492399449,0.0337789879513495
"Quantile","X2_5%",-0.0938265448982616,0.0996380259129028,0.0335643980716266
"Quantile","X3_5%",0.0821171079661896,0.0964555708416198,0.0506516426531145
"Quantile","X1_25%",-0.037840421176633,0.0452352388559349,0.0248104913391389
"Quantile","X2_25%",-0.0495160077487142,0.0544291434535281,0.0226212306000742
"Quantile","X3_25%",-0.0571320326774945,0.0623617265699188,0.0250233514773169
"Quantile","X1_50%",0.124728909023615,0.126781575263233,0.0227442670440818
"Quantile","X2_50%",0.117955076102758,0.120581072920271,0.0250529533016509
"Quantile","X3_50%",-0.0644926737792372,0.0672479524738531,0.0190711709092596
"Quantile","X1_75%",0.15533964236805,0.158140932070126,0.0296632723148258
"Quantile","X2_75%",0.126307371257974,0.129417056180877,0.0282279299361748
"Quantile","X3_75%",-0.0113704244982123,0.0213892334648429,0.0181347869007573
"Quantile","X1_95%",-0.15500115700202,0.164908440001591,0.0563541168395262
"Quantile","X2_95%",-0.122010060377628,0.134590095328801,0.0568727346199339
"Quantile","X3_95%",0.0944060817406621,0.0999440099230704,0.0328398196918471
"Covariance","X1-X1",0.0572739106939438,0.0587280976143135,0.013001025210788
"Covariance","X2-X1",-0.0244909084992512,0.0266115128451841,0.0104204216404632
"Covariance","X3-X1",-0.0190484120740815,0.0216775174217103,0.0103579599194011
"Covariance","X2-X2",0.0494268053834085,0.0511597182473378,0.0132157858157245
"Covariance","X3-X2",-0.0246692428237804,0.0263506541926919,0.00927131865396469
"Covariance","X3-X3",0.0307983090277413,0.0339362792593502,0.0142668250003823
