"Setting","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd"
"1 Gaussian","Lasso","(Intercept)",0.000117301572956096,0.000265923740453644,0.00321858362787572
"2-mixture","Lasso","(Intercept)",0.0556608187005822,0.0555374107590394,0.00394493007897532
"3-mixture","Lasso","(Intercept)",0.0332024453498328,0.0331698148438107,0.00557045926288559
"4-mixture","Lasso","(Intercept)",-0.0368152375120273,-0.0379240609200338,0.0122556967359833
"1 Gaussian","Mean","X1",0.000914045192739312,0.000916802526565785,0.00139008736321543
"2-mixture","Mean","X1",0.0363060512389959,0.0361885626260277,0.00237904222128948
"3-mixture","Mean","X1",0.0131651879360536,0.0132192003455764,0.00347986463372786
"4-mixture","Mean","X1",0.00561535648931294,0.00542833732056947,0.00385583206781085
"1 Gaussian","Var","X1",0.0144030541012154,0.0144745933981607,0.00997385408913395
"2-mixture","Var","X1",-0.00236765878686111,-0.00271729015429933,0.0211549938195345
"3-mixture","Var","X1",0.0421851506636994,0.0428368160979353,0.03391332198647
"4-mixture","Var","X1",-0.120333054885259,-0.121791520375636,0.05787981012789
"1 Gaussian","Quantile","X1_q25",0.000805594412465275,0.0010033108638714,0.0238632364951333
"2-mixture","Quantile","X1_q25",0.0723551823486843,0.0712793490271943,0.0350065188341301
"3-mixture","Quantile","X1_q25",-0.0310567503924182,-0.0313777467732308,0.0416555216247307
"4-mixture","Quantile","X1_q25",-0.0393644591496831,-0.0324197448438284,0.0913014345280491
"1 Gaussian","Quantile","X1_q5",-0.00875729567308527,-0.0102373983386639,0.0404781213785186
"2-mixture","Quantile","X1_q5",0.0219020748911105,0.0248939796556276,0.0608190607794255
"3-mixture","Quantile","X1_q5",0.0930860070453723,0.0882101393403738,0.0706244165535627
"4-mixture","Quantile","X1_q5",0.162488417339069,0.161383997142367,0.138231713872061
"1 Gaussian","Quantile","X1_q50",-0.00244417330727487,-0.00295157626045039,0.0195208956688892
"2-mixture","Quantile","X1_q50",0.0826575659404303,0.0829343366415007,0.0309819003427571
"3-mixture","Quantile","X1_q50",0.0171074686810778,0.0184146587126928,0.0292370143040422
"4-mixture","Quantile","X1_q50",-0.0197496616370766,-0.0179963740981819,0.0594341496746358
"1 Gaussian","Quantile","X1_q75",0.00617481650572692,0.00857359808181024,0.0333982338665212
"2-mixture","Quantile","X1_q75",-0.0270432638762161,-0.0263485246593129,0.0573579992383716
"3-mixture","Quantile","X1_q75",0.00881072667832289,0.00933160591903404,0.0512023418660212
"4-mixture","Quantile","X1_q75",0.326562007007045,0.325500365676221,0.0779395363138979
"1 Gaussian","Quantile","X1_q95",0.000353442548747812,0.00081700616488134,0.0189115040479332
"2-mixture","Quantile","X1_q95",-0.0272212323138383,-0.0261682230513006,0.0256229136520396
"3-mixture","Quantile","X1_q95",-0.0857624995054263,-0.0849211197963966,0.0293587837929958
"4-mixture","Quantile","X1_q95",0.0513776076011674,0.0473655164220315,0.0556343160004391
"1 Gaussian","Cov","X1-X1",0.0144030541012151,0.0144745933981607,0.00997385408913398
"2-mixture","Cov","X1-X1",-0.00236765878686107,-0.00271729015431355,0.021154993819534
"3-mixture","Cov","X1-X1",0.042185150663699,0.0428368160979158,0.0339133219864699
"4-mixture","Cov","X1-X1",-0.120333054885259,-0.121791520375629,0.0578798101278905
"1 Gaussian","Mean","X2",-0.000627561361121523,-0.000653263074689603,0.00136956069056526
"2-mixture","Mean","X2",0.0340065736156727,0.0339906920048006,0.0024755935558176
"3-mixture","Mean","X2",0.0111639298179709,0.0111799001386673,0.00192727907493204
"4-mixture","Mean","X2",-0.039042319779345,-0.0386288284783036,0.00792768032422136
"1 Gaussian","Var","X2",0.007128695724475,0.00757925961642503,0.00699171616496588
"2-mixture","Var","X2",0.0803076857301017,0.0798366699840027,0.0173840551779287
"3-mixture","Var","X2",-0.0116027163929016,-0.0113169225636307,0.0123684986822915
"4-mixture","Var","X2",0.113248463309584,0.107980643024835,0.0647993275918715
"1 Gaussian","Lasso","X2",8.33363015244248e-05,9.69804913810157e-05,0.00122701130313833
"2-mixture","Lasso","X2",-0.00519173698945477,-0.0051004985236629,0.00294923386567121
"3-mixture","Lasso","X2",-0.00633833351244616,-0.0064006301427264,0.00135214103142404
"4-mixture","Lasso","X2",0.0123664355452111,0.0118479012356414,0.00494416359214178
"1 Gaussian","Quantile","X2_q25",0.0151987731443931,0.0164807039772903,0.0289192363205737
"2-mixture","Quantile","X2_q25",-0.00279670710377417,-0.00126275991771774,0.0535982800900058
"3-mixture","Quantile","X2_q25",0.170313333606224,0.170598749952146,0.061333908166015
"4-mixture","Quantile","X2_q25",0.0608261813198502,0.0311033994427348,0.117510719867286
"1 Gaussian","Quantile","X2_q5",-0.0015028619112735,-0.000439810735531454,0.0314794124581986
"2-mixture","Quantile","X2_q5",0.0418142310531056,0.0402285523267172,0.0388097245910569
"3-mixture","Quantile","X2_q5",-0.00653080707283266,-0.00611845035994574,0.0423031140728231
"4-mixture","Quantile","X2_q5",-0.0329670005945827,-0.0322809138963263,0.080328410226275
"1 Gaussian","Quantile","X2_q50",-0.000695326466617677,0.000168027166509654,0.0202615000123125
"2-mixture","Quantile","X2_q50",0.0885552695080425,0.090253273374986,0.0295255537719305
"3-mixture","Quantile","X2_q50",0.0207069096299142,0.0194622113985666,0.0273009231994667
"4-mixture","Quantile","X2_q50",-0.269993720184535,-0.269558593591987,0.0507649216586582
"1 Gaussian","Quantile","X2_q75",-0.00520808709044695,-0.00391098134502754,0.031200163524491
"2-mixture","Quantile","X2_q75",-0.0371254072440558,-0.0369617304604128,0.0523238984876216
"3-mixture","Quantile","X2_q75",0.0661496040739443,0.0647400713485546,0.0590470881182036
"4-mixture","Quantile","X2_q75",-0.186120048924497,-0.183024448082907,0.0811521941212516
"1 Gaussian","Quantile","X2_q95",0.00125322989478776,0.000429749368869192,0.0192910191464205
"2-mixture","Quantile","X2_q95",-0.0251198561892374,-0.0248203060088803,0.0266437512537399
"3-mixture","Quantile","X2_q95",-0.00487240530241248,-0.0045088522419392,0.0302344712325812
"4-mixture","Quantile","X2_q95",0.0341601888805071,0.0342403767117143,0.0457456048097591
"1 Gaussian","Cov","X2-X1",-0.00976119688811049,-0.00973783814256635,0.00548659605591256
"2-mixture","Cov","X2-X1",-0.0463307271297332,-0.0462198850542919,0.0104413588209376
"3-mixture","Cov","X2-X1",0.0241462099370973,0.0229623084741037,0.0126951234439788
"4-mixture","Cov","X2-X1",0.0133031637568097,0.0102684683002838,0.0566927648701669
"1 Gaussian","Cov","X2-X2",0.00712869572447483,0.00757925961642147,0.00699171616496566
"2-mixture","Cov","X2-X2",0.0803076857301008,0.0798366699840019,0.0173840551779285
"3-mixture","Cov","X2-X2",-0.0116027163929018,-0.0113169225636307,0.0123684986822914
"4-mixture","Cov","X2-X2",0.113248463309583,0.107980643024836,0.0647993275918715
"1 Gaussian","Mean","X3",0.000452412831095128,0.000408959467923964,0.00135999534701658
"2-mixture","Mean","X3",-0.0260000912025615,-0.0258437542092128,0.00205948258858986
"3-mixture","Mean","X3",-0.00847026448697084,-0.00852348259231328,0.00277099505275915
"4-mixture","Mean","X3",0.0223505696239787,0.0221863543597602,0.00573655384439752
"1 Gaussian","Var","X3",0.00501012593346846,0.00535697577530847,0.00601473332128345
"2-mixture","Var","X3",0.0323474336952896,0.0324075588026549,0.0116365217197893
"3-mixture","Var","X3",0.0459514935822876,0.045656550560202,0.0172759702759146
"4-mixture","Var","X3",0.0676497856867433,0.0609062637608506,0.050506679685393
