"Setting","Method","Size","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd","Bias.rmse"
"CLEAR (half)","CLEAR","half","Lasso","(Intercept)",0.100753447801541,0.102423025006343,0.02181518789559,0.103083499465103
"synthpop (half)","synthpop","half","Lasso","(Intercept)",0.107986540544229,0.108637702003696,0.109376928360008,0.153624473217211
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Lasso","(Intercept)",0.098877805829802,0.0986305097663012,0.0225418696662607,0.101409763346488
"CLEAR (equal)","CLEAR","equal","Lasso","(Intercept)",0.0569249652230264,0.0569154462031558,0.0104025758721041,0.0578657828362159
"synthpop (equal)","synthpop","equal","Lasso","(Intercept)",-0.0526749304224302,-0.0551536977454989,0.0710581858585196,0.0883957891585158
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Lasso","(Intercept)",0.0590908398201608,0.0593519016484119,0.0132424808824523,0.0605536119812367
"CLEAR (double)","CLEAR","double","Lasso","(Intercept)",0.0320439792923064,0.0323474676235889,0.00575301488741572,0.032555300564117
"synthpop (double)","synthpop","double","Lasso","(Intercept)",-0.0400606345040296,-0.0442884668618722,0.0543023779752327,0.0674366754379466
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Lasso","(Intercept)",0.0327253850673837,0.03275979604132,0.00702689001294283,0.0334698260631278
"CLEAR (half)","CLEAR","half","Mean","X1",0.0405723373106021,0.0409994387805965,0.0145717790916996,0.0431048329917978
"synthpop (half)","synthpop","half","Mean","X1",0.14274242506642,0.14154238240285,0.0673973182406793,0.157824946136109
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Mean","X1",0.0392031597659966,0.0394218311244554,0.0149106077184439,0.0419376835999141
"CLEAR (equal)","CLEAR","equal","Mean","X1",0.0227975392920575,0.0228986491695702,0.00647380450556952,0.0236971332076199
"synthpop (equal)","synthpop","equal","Mean","X1",-0.0265942398389868,-0.0262203258277522,0.047752518629198,0.0546168108001062
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Mean","X1",0.0233569734297689,0.023461694759082,0.00820811324009875,0.0247545265459731
"CLEAR (double)","CLEAR","double","Mean","X1",0.0128901382528603,0.0128185167939288,0.00374712158508062,0.0134226861138478
"synthpop (double)","synthpop","double","Mean","X1",-0.068565103383154,-0.0706282609243218,0.0351350403877185,0.0770271090127568
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Mean","X1",0.0126430751953891,0.0125857847099002,0.00449260946613179,0.0134160546783252
"CLEAR (half)","CLEAR","half","Var","X1",0.113072726536112,0.110764534866544,0.155931222874137,0.19248729480358
"synthpop (half)","synthpop","half","Var","X1",-0.559693481011439,-0.545900401760537,0.611984021368901,0.828874047254908
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Var","X1",0.0748206437658174,0.0738864670913202,0.147711052849452,0.165448018293231
"CLEAR (equal)","CLEAR","equal","Var","X1",0.0559303078349022,0.0538389852812315,0.0626886282781435,0.0839654912548684
"synthpop (equal)","synthpop","equal","Var","X1",0.47819789367501,0.49625317114381,0.424193272973552,0.63894700757227
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Var","X1",0.0559740398449111,0.0535775490637231,0.0802718651298378,0.0977945720544843
"CLEAR (double)","CLEAR","double","Var","X1",0.0438879371450598,0.0409561028088934,0.0362946352655281,0.0569281738228825
"synthpop (double)","synthpop","double","Var","X1",-0.0661179735611084,-0.0668709819379263,0.304343535807856,0.311145181933257
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Var","X1",0.0349601141804243,0.0316206893411799,0.0442975007100644,0.0563963971857081
"CLEAR (half)","CLEAR","half","Quantile","X1_q25",0.0116682540638979,0.00607638903393948,0.0665469511456092,0.0674965767003203
"synthpop (half)","synthpop","half","Quantile","X1_q25",0.112585335727664,0.112592912083151,0.125157606384372,0.168251464789774
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X1_q25",-0.0105463990946299,-0.00307113425779182,0.0796482433995123,0.0802644474542615
"CLEAR (equal)","CLEAR","equal","Quantile","X1_q25",-0.0372075894790388,-0.0402322477023818,0.0482685312965924,0.0609064538956565
"synthpop (equal)","synthpop","equal","Quantile","X1_q25",0.0116657419114844,0.00695470808994614,0.0857243264599213,0.0864294646579424
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X1_q25",-0.0293117999854074,-0.029333835939032,0.0578733539699363,0.0648213550299175
"CLEAR (double)","CLEAR","double","Quantile","X1_q25",-0.0187188002597673,-0.0169549161772808,0.0432866307858039,0.0471208915783859
"synthpop (double)","synthpop","double","Quantile","X1_q25",-0.0812096906719868,-0.0807474744742507,0.0673656488501045,0.105470698503164
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X1_q25",-0.0357789469063583,-0.0358530247412734,0.0577508407721468,0.0678868347501788
"CLEAR (half)","CLEAR","half","Quantile","X1_q5",0.147660529459815,0.150706709762173,0.0994849733331217,0.177991846329001
"synthpop (half)","synthpop","half","Quantile","X1_q5",0.16468287040406,0.167809364611794,0.200804579311148,0.259542447238796
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X1_q5",0.108762400302821,0.103115801960266,0.124046332255562,0.164881706931352
"CLEAR (equal)","CLEAR","equal","Quantile","X1_q5",0.0776598350755529,0.073303226449555,0.0841569041301872,0.114452041168841
"synthpop (equal)","synthpop","equal","Quantile","X1_q5",-0.112826784460573,-0.107389652440296,0.139676162627658,0.179444405979367
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X1_q5",0.0951555223539432,0.0920941235768551,0.10157731264837,0.139111063465228
"CLEAR (double)","CLEAR","double","Quantile","X1_q5",0.0989081217664433,0.101767322105003,0.0666002871178244,0.119203790204229
"synthpop (double)","synthpop","double","Quantile","X1_q5",-0.0139370092582999,-0.011144643319783,0.0955706965415559,0.0964869460001156
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X1_q5",0.0830950763506479,0.0798069002030204,0.0846722531988943,0.118574210495259
"CLEAR (half)","CLEAR","half","Quantile","X1_q50",0.0366262747371496,0.0339849686410765,0.0439122289293848,0.0571481520520897
"synthpop (half)","synthpop","half","Quantile","X1_q50",-0.0621512222727356,-0.0568196773744631,0.0743449134856626,0.0968446501303157
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X1_q50",0.0395874480803002,0.0393333992666018,0.0495636530092081,0.0633940741215487
"CLEAR (equal)","CLEAR","equal","Quantile","X1_q50",0.0385621670749993,0.0367378635220927,0.0337710676615255,0.0512371424895797
"synthpop (equal)","synthpop","equal","Quantile","X1_q50",-0.00614464753836787,-0.00515010202177613,0.0516024809805335,0.0519157693252291
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X1_q50",0.02688419122917,0.0260327723289127,0.0421198691498891,0.0499329044668538
"CLEAR (double)","CLEAR","double","Quantile","X1_q50",0.015797248630015,0.0144783175274394,0.0285600589554685,0.0326128606209769
"synthpop (double)","synthpop","double","Quantile","X1_q50",0.042353721435239,0.0424212633149148,0.0373256609635464,0.0564292147371085
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X1_q50",0.0152546230071625,0.0133501419180122,0.0357049514859512,0.0387942959284423
"CLEAR (half)","CLEAR","half","Quantile","X1_q75",0.0648874190785215,0.0627411539819245,0.0770556423937492,0.100678071273419
"synthpop (half)","synthpop","half","Quantile","X1_q75",-0.0864217344101154,-0.0802919518179444,0.119872759291935,0.147680247974718
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X1_q75",0.0202684188756698,0.0184359513682844,0.0857678779230699,0.0880467229905769
"CLEAR (equal)","CLEAR","equal","Quantile","X1_q75",0.00986765909617277,0.0109073011565179,0.064388421378537,0.0650764762878498
"synthpop (equal)","synthpop","equal","Quantile","X1_q75",0.0929113813223502,0.0922773521761266,0.0793013231149435,0.122100971442951
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X1_q75",0.0132410273321358,0.0116204051044821,0.0682092656926066,0.0694155870340539
"CLEAR (double)","CLEAR","double","Quantile","X1_q75",0.00890126334565723,0.00824770013043219,0.0518306056819696,0.0525382846230998
"synthpop (double)","synthpop","double","Quantile","X1_q75",0.00111818536341245,0.00196094168867189,0.058133190551362,0.0580857921225196
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X1_q75",0.00986151292128562,0.0100090416534067,0.0603478262269693,0.0610886720035435
"CLEAR (half)","CLEAR","half","Quantile","X1_q95",-0.144254251132029,-0.142768708315234,0.0452550888830777,0.151172801764531
"synthpop (half)","synthpop","half","Quantile","X1_q95",0.086961217573995,0.0881151395542652,0.0805467944289925,0.118478115627117
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Quantile","X1_q95",-0.127498072269683,-0.12634183481252,0.0536323980807779,0.138298371964866
"CLEAR (equal)","CLEAR","equal","Quantile","X1_q95",-0.102049005668729,-0.104019193099525,0.0347020669117821,0.107776734683466
"synthpop (equal)","synthpop","equal","Quantile","X1_q95",-0.0145542316854087,-0.0104767872143781,0.0552889590471258,0.0571190065957233
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Quantile","X1_q95",-0.100243014928595,-0.0985899994506609,0.0426140856262647,0.108908174234763
"CLEAR (double)","CLEAR","double","Quantile","X1_q95",-0.0869907513759923,-0.0860130319657306,0.0288181967435655,0.0916308807748974
"synthpop (double)","synthpop","double","Quantile","X1_q95",-0.0363343311705663,-0.0334157463010831,0.0420192197603233,0.0555181701897694
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X1_q95",-0.0825651487217183,-0.0813523110272403,0.0384525821676687,0.0910639756251069
