"Setting","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd"
"n0=1000","Lasso","(Intercept)",0.176674517875331,0.176067204917239,0.044041057454185
"n0=2500","Lasso","(Intercept)",0.100459069101558,0.100538527791825,0.0195525169854628
"n0=5000","Lasso","(Intercept)",0.0597569191515136,0.0593947032163911,0.0105420527538509
"n0=10000","Lasso","(Intercept)",0.0324228191976578,0.0325776304009864,0.00546199964004769
"n0=20000","Lasso","(Intercept)",0.0174622639239087,0.0173934657299735,0.00291481173498105
"n0=40000","Lasso","(Intercept)",0.00910606752362028,0.00913525211663435,0.00140653040255955
"n0=1000","Mean","X1",0.0739756255973474,0.0740967992511754,0.0281636447982628
"n0=2500","Mean","X1",0.040535988854014,0.0403369924545398,0.0128531260432176
"n0=5000","Mean","X1",0.0238520916295174,0.0236316212980778,0.00674330367853088
"n0=10000","Mean","X1",0.0127818074779471,0.0127009583015245,0.00343314115785491
"n0=20000","Mean","X1",0.00684558756154856,0.00688622550190265,0.00187673788090976
"n0=40000","Mean","X1",0.00368285981861954,0.00371860404866986,0.000916737444177196
"n0=1000","Var","X1",0.0931566942712562,0.0842202053019392,0.285605282319752
"n0=2500","Var","X1",0.0900669537053234,0.0911929377499661,0.134468952014239
"n0=5000","Var","X1",0.0656101881570435,0.0674614995119427,0.06693341161968
"n0=10000","Var","X1",0.0393189649990986,0.0370366125346049,0.036631552175655
"n0=20000","Var","X1",0.0234689916720054,0.0234486190280965,0.0172744599355648
"n0=40000","Var","X1",0.0120808372644468,0.01214935917886,0.00812113519939861
"n0=1000","Quantile","X1_q25",0.0162500254206899,0.0180247449864011,0.114654091983926
"n0=2500","Quantile","X1_q25",-0.00674126652368332,-0.00583770431129693,0.0719349776706375
"n0=5000","Quantile","X1_q25",-0.0224964711688386,-0.0211336607326515,0.0499550465775337
"n0=10000","Quantile","X1_q25",-0.0315214838914432,-0.0309280636849039,0.0423947127616067
"n0=20000","Quantile","X1_q25",-0.0364258933977568,-0.0371234123106738,0.0386538109417509
"n0=40000","Quantile","X1_q25",-0.0361186088881392,-0.0361682817725315,0.033969486780483
"n0=1000","Quantile","X1_q5",0.155961850094215,0.156234636495812,0.176279224660926
"n0=2500","Quantile","X1_q5",0.108157490369825,0.100458623893499,0.115946678315462
"n0=5000","Quantile","X1_q5",0.103653045327993,0.0986124510279196,0.0872416098384143
"n0=10000","Quantile","X1_q5",0.0882530434251309,0.0884169770522942,0.0678698437784309
"n0=20000","Quantile","X1_q5",0.0822156068637555,0.0832307364182703,0.0588403631595013
"n0=40000","Quantile","X1_q5",0.0781622210632445,0.0782445728438403,0.0535102886124576
"n0=1000","Quantile","X1_q50",0.0714320294210163,0.0692901026960855,0.0677781442759851
"n0=2500","Quantile","X1_q50",0.0433101381594687,0.0434169171899672,0.0467121229112207
"n0=5000","Quantile","X1_q50",0.0277240254599176,0.0272015612829897,0.0349332186541465
"n0=10000","Quantile","X1_q50",0.0151916518034015,0.0150496526344208,0.0297116357006723
"n0=20000","Quantile","X1_q50",0.0112590075639231,0.0116998255358283,0.0265565186760744
"n0=40000","Quantile","X1_q50",0.0100059023771503,0.0095746686421827,0.0243947840119273
"n0=1000","Quantile","X1_q75",0.0386081570743079,0.0451256779140148,0.12559903611831
"n0=2500","Quantile","X1_q75",0.0304525428775294,0.0280094170612557,0.0828174488168094
"n0=5000","Quantile","X1_q75",0.0162198206705129,0.0169774815105925,0.0616079835966692
"n0=10000","Quantile","X1_q75",0.00796940361382862,0.00699811907359305,0.0528119437236039
"n0=20000","Quantile","X1_q75",0.00577905819821482,0.00381534497270453,0.0460546823463939
"n0=40000","Quantile","X1_q75",0.00308315330987171,0.00120952841473043,0.046636492669146
"n0=1000","Quantile","X1_q95",-0.180026696463008,-0.180038090483341,0.0720099970351272
"n0=2500","Quantile","X1_q95",-0.127692664192181,-0.127664835159145,0.0462638358247856
"n0=5000","Quantile","X1_q95",-0.101391320135287,-0.0999020686223477,0.0352792819056665
"n0=10000","Quantile","X1_q95",-0.0845073741949714,-0.0840217434988084,0.0292407897299476
"n0=20000","Quantile","X1_q95",-0.0736213207777703,-0.0731766119471178,0.0255961301963178
"n0=40000","Quantile","X1_q95",-0.0701252413506301,-0.0693798546876132,0.0238663600063304
"n0=1000","Cov","X1-X1",0.0931566942712552,0.0842202053019445,0.285605282319752
"n0=2500","Cov","X1-X1",0.090066953705323,0.0911929377499625,0.134468952014239
"n0=5000","Cov","X1-X1",0.0656101881570426,0.0674614995119374,0.0669334116196793
"n0=10000","Cov","X1-X1",0.0393189649990984,0.0370366125346067,0.0366315521756548
"n0=20000","Cov","X1-X1",0.0234689916720034,0.0234486190280911,0.0172744599355641
"n0=40000","Cov","X1-X1",0.0120808372644455,0.0121493591788244,0.00812113519939946
"n0=1000","Mean","X2",0.0623350307770645,0.0621390016592803,0.0134037202174365
"n0=2500","Mean","X2",0.0351405761801082,0.0350298077116313,0.00665084285666645
"n0=5000","Mean","X2",0.0203433601082473,0.0203203623154349,0.0036743925948359
"n0=10000","Mean","X2",0.0108445451875182,0.0109419956060439,0.00189932902227568
"n0=20000","Mean","X2",0.0057452386726176,0.00571564252131884,0.00100797012526359
"n0=40000","Mean","X2",0.00291814671193384,0.00292709012214221,0.000496980766131417
"n0=1000","Var","X2",-0.107729628827818,-0.110533641745065,0.102677093646891
"n0=2500","Var","X2",-0.0476345710900648,-0.0505746730628021,0.0455769928641498
"n0=5000","Var","X2",-0.0233143609805006,-0.0236750332192441,0.0233955909318313
"n0=10000","Var","X2",-0.0114853532078632,-0.0121852399394493,0.012743413648923
"n0=20000","Var","X2",-0.00515942236331769,-0.00537287721283608,0.00644261200202128
"n0=40000","Var","X2",-0.00281512375134556,-0.00280016581366738,0.00330027862047933
"n0=1000","Lasso","X2",-0.0345674061858994,-0.0347416043786246,0.011442120256167
"n0=2500","Lasso","X2",-0.0192483999061534,-0.0193051332610532,0.0054935111263441
"n0=5000","Lasso","X2",-0.0112831338629165,-0.0112299367222304,0.00270265959029716
"n0=10000","Lasso","X2",-0.00622178865606265,-0.00619478722296529,0.00152798514059147
"n0=20000","Lasso","X2",-0.00336013204378706,-0.00332638496576554,0.000739972708763352
"n0=40000","Lasso","X2",-0.00170168126511922,-0.00171406334329294,0.000371554469617493
"n0=1000","Quantile","X2_q25",0.271359494659988,0.270229431776771,0.146494448002292
"n0=2500","Quantile","X2_q25",0.221046907618569,0.221866575754203,0.0980944526738085
"n0=5000","Quantile","X2_q25",0.190481862008885,0.191540937510791,0.0737653785378476
"n0=10000","Quantile","X2_q25",0.172877466270254,0.168865898350374,0.0632683483804591
"n0=20000","Quantile","X2_q25",0.151844366878516,0.149181095300483,0.0521073476251464
"n0=40000","Quantile","X2_q25",0.141740455664811,0.143142676010286,0.0516234713106368
"n0=1000","Quantile","X2_q5",0.0544412179854046,0.0554547896692197,0.104584104106296
"n0=2500","Quantile","X2_q5",0.0247995836847498,0.0258752734421027,0.0659342214817989
"n0=5000","Quantile","X2_q5",0.00287589526391328,0.00237896008576899,0.0517488383578034
"n0=10000","Quantile","X2_q5",-0.00322074854290448,-0.00148313848226689,0.0422632277158046
"n0=20000","Quantile","X2_q5",-0.010759285908495,-0.00989853397252971,0.0371757156384333
"n0=40000","Quantile","X2_q5",-0.0122398035935373,-0.0116446894632239,0.0337723453769465
"n0=1000","Quantile","X2_q50",0.0714804966370854,0.0692604814663853,0.0664474272729018
"n0=2500","Quantile","X2_q50",0.0425596793596923,0.0415391633998466,0.0437987177796659
"n0=5000","Quantile","X2_q50",0.0302536167576412,0.030398614263044,0.0317135845295416
"n0=10000","Quantile","X2_q50",0.0211605924864326,0.0199220606739064,0.028479818861148
"n0=20000","Quantile","X2_q50",0.0145278620116754,0.0141513522446571,0.0240281963223767
"n0=40000","Quantile","X2_q50",0.0106429903994396,0.0104907585409572,0.0244649788676209
"n0=1000","Quantile","X2_q75",0.0370612494613713,0.0403807099141775,0.126224373214661
"n0=2500","Quantile","X2_q75",0.0493636556920731,0.0454874285951339,0.0845738599390931
"n0=5000","Quantile","X2_q75",0.0622135798750247,0.060600090979982,0.0704554501180378
"n0=10000","Quantile","X2_q75",0.0666539563853948,0.0658603987370974,0.0568174849634876
"n0=20000","Quantile","X2_q75",0.0710668676041862,0.0710893389065095,0.0542386064301991
"n0=40000","Quantile","X2_q75",0.0698925788359708,0.071515004056204,0.049147894650899
"n0=1000","Quantile","X2_q95",-0.0275771467385136,-0.0277382926249508,0.0737559772846684
"n0=2500","Quantile","X2_q95",-0.0124574909011451,-0.0163145633682302,0.0523600824410365
"n0=5000","Quantile","X2_q95",-0.00853499903189856,-0.0092348187773168,0.0365182235093128
"n0=10000","Quantile","X2_q95",-0.0022685414946609,-0.000815675162451068,0.0292271067872851
"n0=20000","Quantile","X2_q95",-0.00339134256981909,-0.00235279921442411,0.0267830247254504
"n0=40000","Quantile","X2_q95",-0.00100838722709338,-0.0005175509284161,0.0243843334309361
"n0=1000","Cov","X2-X1",0.181394354396221,0.184062739306168,0.104247633772049
"n0=2500","Cov","X2-X1",0.085885611084128,0.0858380022051888,0.0468741153256548
"n0=5000","Cov","X2-X1",0.0472746003961865,0.0459433920280583,0.0251384886541969
"n0=10000","Cov","X2-X1",0.024574175875855,0.0244508923737303,0.0133677171976386
"n0=20000","Cov","X2-X1",0.0120542886418622,0.0121243594263216,0.00677162428604962
"n0=40000","Cov","X2-X1",0.00645274714991556,0.00632412783200653,0.00321793395564361
"n0=1000","Cov","X2-X2",-0.107729628827818,-0.110533641745064,0.102677093646891
"n0=2500","Cov","X2-X2",-0.047634571090065,-0.0505746730628038,0.0455769928641498
"n0=5000","Cov","X2-X2",-0.0233143609805007,-0.0236750332192459,0.0233955909318311
"n0=10000","Cov","X2-X2",-0.0114853532078632,-0.0121852399394484,0.0127434136489229
"n0=20000","Cov","X2-X2",-0.0051594223633182,-0.00537287721283608,0.00644261200202116
"n0=40000","Cov","X2-X2",-0.00281512375134605,-0.00280016581367182,0.00330027862047995
"n0=1000","Mean","X3",-0.0514373689557731,-0.0522108225604858,0.0223181428338262
"n0=2500","Mean","X3",-0.0274895588500965,-0.0266707727285356,0.0104584471949039
"n0=5000","Mean","X3",-0.0157201592080713,-0.0158343622948389,0.00531038744964001
"n0=10000","Mean","X3",-0.00810771131358981,-0.00802421351057747,0.00275977486783956
